iter	Passed	Remaining
696	88164	38326
697	88293	38201
698	88427	38078
699	88559	37954
700	88688	37828
701	88816	37702
702	88931	37571
703	89048	37440
704	89174	37314
705	89297	37186
706	89409	37053
707	89539	36928
708	89657	36798
709	89781	36671
710	89914	36547
711	90025	36414
712	90130	36279
713	90232	36143
714	90334	36007
715	90454	35878
716	90604	35761
717	90732	35635
718	90851	35506
719	90951	35370
720	91075	35242
721	91188	35111
722	91292	34976
723	91394	34841
724	91516	34713
725	91632	34582
726	91743	34451
727	91881	34329
728	91984	34194
729	92112	34068
730	92243	33944
731	92369	33818
732	92488	33689
733	92607	33560
734	92729	33433
735	92848	33304
736	92975	33178
737	93085	33046
738	93216	32922
739	93346	32797
740	93459	32666
741	93584	32540
742	93685	32405
743	93788	32271
744	93909	32143
745	94029	32015
746	94169	31894
747	94269	31759
748	94390	31631
749	94508	31502
750	94627	31374
751	94750	31247
752	94899	31129
753	95039	31007
754	95160	30879
755	95289	30754
756	95431	30633
757	95561	30509
758	95683	30381
759	95790	30249
760	95920	30124
761	96034	29995
762	96157	29868
763	96267	29737
764	96392	29610
765	96515	29483
766	96632	29354
767	96777	29234
768	96892	29105
769	97006	28976
770	97134	28850
771	97240	28718
772	97399	28602
773	97520	28474
774	97667	28355
775	97783	28226
776	97901	28097
777	98018	27969
778	98126	27838
779	98264	27715
780	98373	27584
781	98487	27455
782	98602	27326
783	98727	27200
784	98838	27070
785	98951	26940
786	99076	26814
787	99181	26683
788	99309	26558
789	99423	26428
790	99544	26301
791	99661	26173
792	99770	26043
793	99921	25924
794	100039	25796
795	100164	25670
796	100274	25540
797	100384	25410
798	100495	25281
799	100606	25151
800	100720	25022
801	100822	24891
802	100939	24763
803	101059	24636
804	101170	24507
805	101270	24375
806	101396	24249
807	101524	24124
808	101646	23998
809	101751	23867
810	101859	23737
811	102005	23616
812	102131	23491
813	102269	23368
814	102394	23242
815	102513	23115
816	102656	22994
817	102780	22867
818	102893	22739
819	103020	22614
820	103146	22488
821	103261	22360
822	103381	22233
823	103505	22108
824	103626	21981
825	103753	21856
826	103865	21727
827	103989	21601
828	104152	21483
829	104300	21362
830	104420	21235
831	104536	21108
832	104646	20979
833	104775	20854
834	104894	20727
835	105005	20599
836	105139	20475
837	105248	20346
838	105359	20218
839	105475	20090
840	105585	19962
841	105707	19835
842	105811	19706
843	105927	19578
844	106053	19453
845	106179	19328
846	106309	19203
847	106431	19077
848	106535	18948
849	106674	18824
850	106800	18699
851	106923	18573
852	107044	18447
853	107194	18325
854	107313	18199
855	107435	18073
856	107566	17948
857	107664	17818
858	107781	17691
859	107899	17565
860	108018	17438
861	108159	17315
862	108284	17190
863	108401	17063
864	108525	16937
865	108645	16811
866	108764	16684
867	108874	16556
868	108991	16430
869	109109	16303
870	109219	16176
871	109347	16050
872	109473	15925
873	109598	15800
874	109709	15672
875	109829	15546
876	109964	15422
877	110068	15294
878	110173	15166
879	110279	15038
880	110450	14919
881	110598	14796
882	110715	14670
883	110816	14541
884	110937	14415
885	111088	14293
886	111199	14166
887	111315	14039
888	111416	13911
889	111536	13785
890	111653	13659
891	111783	13534
892	111892	13407
893	112018	13281
894	112141	13156
895	112262	13030
896	112393	12905
897	112511	12779
898	112620	12652
899	112754	12528
900	112901	12405
901	113040	12281
902	113143	12153
903	113275	12029
904	113402	11904
905	113528	11778
906	113660	11654
907	113772	11527
908	113887	11401
909	114010	11275
910	114153	11152
911	114271	11026
912	114385	10899
913	114502	10773
914	114629	10648
915	114760	10523
916	114874	10397
917	115006	10272
918	115155	10149
919	115265	10023
920	115386	9897
921	115507	9771
922	115645	9647
923	115748	9520
924	115865	9394
925	115991	9269
926	116108	9143
927	116252	9019
928	116367	8893
929	116507	8769
930	116623	8643
931	116741	8517
932	116856	8391
933	117017	8268
934	117144	8143
935	117254	8017
936	117373	7891
937	117501	7766
938	117636	7641
939	117744	7515
940	117855	7389
941	117978	7264
942	118087	7137
943	118209	7012
944	118314	6886
945	118423	6759
946	118541	6634
947	118651	6508
948	118773	6382
949	118879	6256
950	118992	6131
951	119124	6006
952	119239	5880
953	119364	5755
954	119505	5631
955	119616	5505
956	119735	5379
957	119853	5254
958	119964	5128
959	120089	5003
960	120225	4879
961	120357	4754
962	120459	4628
963	120565	4502
964	120681	4377
965	120796	4251
966	120905	4126
967	121011	4000
968	121117	3874
969	121244	3749
970	121356	3624
971	121471	3499
972	121583	3373
973	121688	3248
974	121814	3123
975	121936	2998
976	122062	2873
977	122169	2748
978	122295	2623
979	122432	2498
980	122545	2373
981	122668	2248
982	122790	2123
983	122942	1999
984	123069	1874
985	123172	1748
986	123306	1624
987	123442	1499
988	123568	1374
989	123705	1249
990	123807	1124
991	123923	999
992	124032	874
993	124139	749
994	124268	624
995	124397	499
996	124501	374
997	124602	249
998	124711	124
999	124846	0
