iter	MultiClass
0	0.9814405337
1	0.895703303
2	0.8275009594
3	0.7738628987
4	0.7290814506
5	0.6936416471
6	0.6630962334
7	0.6374749968
8	0.6149766544
9	0.5963424183
10	0.5804047342
11	0.5669267919
12	0.5540662751
13	0.54290271
14	0.5327631114
15	0.5238747962
16	0.5157376875
17	0.5079817972
18	0.5011695602
19	0.4950688335
20	0.4891844949
21	0.4840770507
22	0.479030064
23	0.4748535242
24	0.4708847879
25	0.4668821819
26	0.4631241588
27	0.459771891
28	0.4566513003
29	0.4531631579
30	0.4503276528
31	0.4474667315
32	0.4447507766
33	0.4417517845
34	0.4389359038
35	0.4361767325
36	0.4336411174
37	0.4314569793
38	0.4290425825
39	0.4267354794
40	0.4245413949
41	0.4217291198
42	0.4194843968
43	0.4176897456
44	0.4156133071
45	0.4135593488
46	0.4114687687
47	0.4096308525
48	0.4079536064
49	0.4057562493
50	0.4038219416
51	0.4020446163
52	0.4003504029
53	0.3987661579
54	0.3973707547
55	0.3956954467
56	0.3942148836
57	0.3926157786
58	0.3910618709
59	0.3897083257
60	0.3880808858
61	0.3864575515
62	0.3850776951
63	0.3837601207
64	0.3823618898
65	0.3811492649
66	0.3796949587
67	0.378376107
68	0.3771978639
69	0.3760701849
70	0.3748400711
71	0.3736903409
72	0.3723745493
73	0.3711619731
74	0.369839223
75	0.3686456688
76	0.3677316229
77	0.3666597808
78	0.3655816949
79	0.3645556708
80	0.363624747
81	0.3626377336
82	0.3615161192
83	0.3600132134
84	0.3588055519
85	0.3577726962
86	0.3565380231
87	0.3554025419
88	0.3543818292
89	0.3532763439
90	0.3522089987
91	0.3513663233
92	0.3504968254
93	0.3494403489
94	0.3483324116
95	0.3472118361
96	0.3462338958
97	0.3452680595
98	0.344290982
99	0.3434421416
100	0.3424507373
101	0.3416708886
102	0.3407016582
103	0.3397175983
104	0.3388371855
105	0.3379633261
106	0.3368376141
107	0.3359059686
108	0.3351334961
109	0.3345250705
110	0.333585264
111	0.3326548586
112	0.3317773462
113	0.3310576887
114	0.3301104612
115	0.3293681147
116	0.3284369733
117	0.3277375487
118	0.327116427
119	0.3261781405
120	0.3255681018
121	0.3249781976
122	0.3241408276
123	0.3234309923
124	0.322519597
125	0.3216956721
126	0.3211049538
127	0.320405814
128	0.3195669412
129	0.3188471961
130	0.3181019835
131	0.3174452126
132	0.3168720675
133	0.3161751723
134	0.3154973542
135	0.3146621142
136	0.3139991113
137	0.313496763
138	0.3127394621
139	0.3119655964
140	0.3111146949
141	0.3103886231
142	0.309821171
143	0.3092791206
144	0.3086343486
145	0.3078833015
146	0.3073542523
147	0.3066159148
148	0.3059883502
149	0.3052595628
150	0.3046365637
151	0.3039434553
152	0.303367546
153	0.3026573197
154	0.3020973747
155	0.3015368851
156	0.3010335519
157	0.3004636092
158	0.3000246815
159	0.299459046
160	0.2990344145
161	0.2985939329
162	0.298027075
163	0.2972927568
164	0.2967308133
